id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
340023,AR-0660,heliport,Lar de Paz S.A. Heliport,-34.776328,-58.658291,49,SA,AR,AR-B,Gonzalez Catán,no,,,HGM,,,
340024,AR-0661,heliport,Homaq Heliport,-34.557353,-59.045919,79,SA,AR,AR-B,Luján,no,,,HLH,,,
340025,AR-0662,heliport,Madero Harbour Helipad,-34.620989,-58.360764,259,SA,AR,AR-C,Buenos Aires,no,,,HMG,,,
340026,AR-0663,heliport,Nordelta Heliport,-34.439664,-58.64215,16,SA,AR,AR-B,Tigre,no,,,HNB,,,
340027,AR-0664,heliport,Heliplataforma Oceanic Champion,-52.833333,-66.416667,66,SA,AR,AR-V,Río Grande,no,,,HOC,,,
340028,AR-0665,heliport,Heliplataforma Móvil Ocean Scepter,-46.466667,-67.433333,505,SA,AR,AR-Z,Golfo San Jorge,no,,,HOS,,,
340029,AR-0666,heliport,Puerto Esperanza Heliport,-25.990346,-54.63825,509,SA,AR,AR-N,Esperanza,no,,,HPO,,,
340030,AR-0667,heliport,Heliplataforma Swiber PJW3000,-53.076495,-67.964004,118,SA,AR,AR-V,Campo Vega Pleyade,no,,,HSW,,,
340031,AR-0668,small_airport,Norberto de La Riestra Airport,-35.327705,-59.791042,126,SA,AR,AR-B,Norberto de La Riestra,no,,,NDR,,,
340036,AR-0669,small_airport,Estancia El Triángulo Airport,-36.349041,-62.226133,341,SA,AR,AR-B,Salazar,no,,,SLZ,,,Fumigaciones Wilmot
340037,AR-0670,small_airport,Hallpa Huayra Airport,-32.207863,-64.533906,1827,SA,AR,AR-X,Villa Amancay,no,,,VAY,,,
340038,AR-0671,small_airport,Las Totoritas Airport,-33.842439,-65.324836,1470,SA,AR,AR-D,Villa Mercedes,no,,,VMT,,,
341793,AR-0672,small_airport,Aerofumigaciones Bartoli Hermanos Airstrip,-33.471415,-62.327058,404,SA,AR,AR-X,Cavanagh,no,,,,,,
343211,AR-0673,small_airport,Estancia Suyai - Lago Pueyrredon Airstrip,-47.365317,-71.97239,522,SA,AR,AR-Z,Lago Posados,no,,,2605,,,
343212,AR-0674,small_airport,Mahmet Fumigaciones Aereas Airport,-35.1486,-60.5245,194,SA,AR,AR-B,Bragado,no,,,,,,
343213,AR-0675,small_airport,Agroaereo Bragado Airport,-35.1755,-60.4563,210,SA,AR,AR-B,Bragado,no,,,,,,
343214,AR-0676,small_airport,Laguna El Abuelo Airstrip,-35.24815,-60.487,210,SA,AR,AR-B,Comodoro Py,no,,,,,,
343215,AR-0677,small_airport,Cerro Vanguardia Airstrip,-48.373634,-68.107842,580,SA,AR,AR-Z,Tres Cerros,no,,,2356,,,
348363,AR-0678,heliport,Malvinas Heroes Hospital Heliport,-34.66941,-58.74199,52,SA,AR,AR-B,Merlo,no,,,,,,
348444,AR-0679,small_airport,Estancia Santa Elena Airport,-47.78901,-65.92325,144,SA,AR,AR-Z,Estancia Santa Elena,no,,,,,,
348445,AR-0680,small_airport,Estancia 8 de Julio Airport,-47.89627,-66.06144,328,SA,AR,AR-Z,Estancia 8 de Julio,no,,,,,,
348446,AR-0681,small_airport,Campamento Darwin Airport,-47.89664,-66.46093,384,SA,AR,AR-Z,Puerto Deseado,no,,,,,,
348447,AR-0682,small_airport,Estancia La Chaira Airport,-48.17187,-66.81911,443,SA,AR,AR-Z,Estancia La Chaira,no,,,,,,
348448,AR-0683,small_airport,Campamento Darwin West Airport,-47.88052,-66.47105,325,SA,AR,AR-Z,Puerto Deseado,no,,,,,,
348449,AR-0684,small_airport,Lago Escondido Airport,-54.63158,-67.7555,410,SA,AR,AR-V,Tolhuin,no,,,,,,
348451,AR-0685,small_airport,Monte Aymond Airport,-52.12706,-69.50706,538,SA,AR,AR-Z,Estancia Monte Aymond,no,,,,,,
348452,AR-0686,closed,Río Gallegos Air Base,-51.64861,-69.20314,56,SA,AR,AR-Z,Río Gallegos,no,,,,,,
348453,AR-0687,small_airport,Monte León Landing Strip,-50.28512,-69.1858,1156,SA,AR,AR-Z,Corpen Aike,no,,,,,,
348454,AR-0688,small_airport,Estancia Las Lagunas Airport,-49.72988,-68.34898,344,SA,AR,AR-Z,Estancia Las Lagunas,no,,,,,,
348455,AR-0689,small_airport,El Salado Airport,-48.72272,-67.71851,466,SA,AR,AR-Z,El Salado,no,,,,,,
348456,AR-0690,small_airport,Río Seco Airport,-48.53148,-67.20996,292,SA,AR,AR-Z,Magallanes,no,,,,,,
348457,AR-0691,small_airport,Laguna Flamenco Airport,-48.38114,-66.83524,88,SA,AR,AR-Z,Deseado,no,,,,,,
348458,AR-0692,small_airport,Laguna Salada Airport,-48.4233,-66.83072,231,SA,AR,AR-Z,Deseado,no,,,,,,
348459,AR-0693,small_airport,Punta Mercedes Airport,-48.38884,-66.4837,85,SA,AR,AR-Z,Deseado,no,,,,,,
348460,AR-0694,small_airport,Punta Mercedes West Airport,-48.42077,-66.65689,94,SA,AR,AR-Z,Deseado,no,,,,,,
348461,AR-0695,small_airport,Cabo Tres Puntas Airport,-47.12832,-66.06579,471,SA,AR,AR-Z,Deseado,no,,,,,,
348462,AR-0696,small_airport,Estancia La Estrella Airport,-47.31099,-65.9749,407,SA,AR,AR-Z,Deseado,no,,,,,,
348463,AR-0697,small_airport,Tellier Airport,-47.59579,-66.07211,371,SA,AR,AR-Z,Tellier,no,,,,,,
348464,AR-0698,small_airport,Estancia El Polvorin Airport,-47.11292,-66.48299,526,SA,AR,AR-Z,Deseado,no,,,,,,
348465,AR-0699,small_airport,Mazaredo Airport,-47.07713,-66.69364,220,SA,AR,AR-Z,Deseado,no,,,,,,
348466,AR-0700,small_airport,La Floradora Airport,-47.11304,-66.80995,584,SA,AR,AR-Z,Deseado,no,,,,,,
348467,AR-0701,small_airport,Manantiales Behr Compressor Plant Airport,-45.55715,-67.66875,2103,SA,AR,AR-U,Escalante,no,,,,,,
348468,AR-0702,small_airport,Gravina Peninsula Airport,-45.15064,-66.49068,80,SA,AR,AR-U,Escalante,no,,,,,,
348469,AR-0703,small_airport,Garayalde Airport,-44.70351,-66.64073,1461,SA,AR,AR-U,Garayalde,no,,,,,,
348470,AR-0704,small_airport,Estancia La Maciega Airport,-44.45854,-65.60563,620,SA,AR,AR-U,Florentino Ameghino,no,,,,,,
348471,AR-0705,small_airport,La Lonja Airport,-43.90377,-65.70839,903,SA,AR,AR-U,Florentino Ameghino,no,,,,,,
348472,AR-0706,small_airport,Punta Ninfas Airport,-42.97667,-64.3528,241,SA,AR,AR-U,Rawson,no,,,,,,
348473,AR-0707,small_airport,Punta Mejillón Airport,-40.98547,-64.17166,83,SA,AR,AR-R,Adolfo Alsina,no,,,,,,
348474,AR-0708,small_airport,Pico Sayago Airport,-42.815058,-64.026432,181,SA,AR,AR-U,Biedma,no,,,,,,
348475,AR-0709,small_airport,Haras Wassermann Airport,-40.59622,-62.19203,10,SA,AR,AR-B,Bahía San Blas,no,,,,,,
